title,0
Avatar,0
Pirates of the Caribbean: At World's End,1
The Dark Knight Rises,2
John Carter,3
Spider-Man 3,4
Tangled,5
Harry Potter and the Half-Blood Prince,6
Superman Returns,7
Quantum of Solace,8
Pirates of the Caribbean: Dead Man's Chest,9
The Lone Ranger,10
Man of Steel,11
The Chronicles of Narnia: Prince Caspian,12
The Avengers,13
Pirates of the Caribbean: On Stranger Tides,14
Men in Black 3,15
The Hobbit: The Battle of the Five Armies,16
The Amazing Spider-Man,17
Robin Hood,18
The Hobbit: The Desolation of Smaug,19
The Golden Compass,20
King Kong,21
Titanic,22
Battleship,23
Skyfall,24
Spider-Man 2,25
Iron Man 3,26
Alice in Wonderland,27
X-Men: The Last Stand,28
Monsters University,29
Transformers: Revenge of the Fallen,30
Transformers: Age of Extinction,31
Oz: The Great and Powerful,32
The Amazing Spider-Man 2,33
TRON: Legacy,34
Cars 2,35
Green Lantern,36
Toy Story 3,37
Terminator Salvation,38
World War Z,39
X-Men: Days of Future Past,40
Star Trek Into Darkness,41
Jack the Giant Slayer,42
The Great Gatsby,43
Prince of Persia: The Sands of Time,44
Pacific Rim,45
Transformers: Dark of the Moon,46
Indiana Jones and the Kingdom of the Crystal Skull,47
Brave,48
WALL·E,49
Rush Hour 3,50
2012,51
A Christmas Carol,52
Jupiter Ascending,53
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",54
The Dark Knight,55
Up,56
Monsters vs Aliens,57
Iron Man,58
Hugo,59
Wild Wild West,60
The Mummy: Tomb of the Dragon Emperor,61
Evan Almighty,62
Edge of Tomorrow,63
Waterworld,64
G.I. Joe: The Rise of Cobra,65
Iron Man 2,66
Snow White and the Huntsman,67
Maleficent,68
Dawn of the Planet of the Apes,69
47 Ronin,70
Captain America: The Winter Soldier,71
Shrek Forever After,72
Big Hero 6,73
Wreck-It Ralph,74
The Polar Express,75
How to Train Your Dragon,76
Terminator 3: Rise of the Machines,77
Guardians of the Galaxy,78
Interstellar,79
Inception,80
The Hobbit: An Unexpected Journey,81
The Fast and the Furious,82
The Curious Case of Benjamin Button,83
X-Men: First Class,84
The Sorcerer's Apprentice,85
Poseidon,86
Shrek the Third,87
The Chronicles of Narnia: The Voyage of the Dawn Treader,88
Pearl Harbor,89
Transformers,90
Alexander,91
Harry Potter and the Order of the Phoenix,92
Harry Potter and the Goblet of Fire,93
Hancock,94
I Am Legend,95
Charlie and the Chocolate Factory,96
Ratatouille,97
Batman Begins,98
Madagascar: Escape 2 Africa,99
Night at the Museum: Battle of the Smithsonian,100
X-Men Origins: Wolverine,101
The Matrix Revolutions,102
Frozen,103
The Matrix Reloaded,104
Thor: The Dark World,105
Angels & Demons,106
Thor,107
Bolt,108
G-Force,109
Wrath of the Titans,110
Dark Shadows,111
The Wolfman,112
Bee Movie,113
Kung Fu Panda 2,114
The Last Airbender,115
Mission: Impossible III,116
White House Down,117
Mars Needs Moms,118
Flushed Away,119
Mr. Peabody & Sherman,120
Troy,121
Madagascar 3: Europe's Most Wanted,122
Die Another Day,123
Armageddon,124
Men in Black II,125
Beowulf,126
Mission: Impossible - Ghost Protocol,127
Rise of the Guardians,128
Fun with Dick and Jane,129
The Last Samurai,130
Exodus: Gods and Kings,131
Star Trek,132
Spider-Man,133
How to Train Your Dragon 2,134
Stealth,135
Watchmen,136
Lethal Weapon 4,137
Hulk,138
G.I. Joe: Retaliation,139
Sahara,140
Final Fantasy: The Spirits Within,141
Captain America: The First Avenger,142
The World Is Not Enough,143
Master and Commander: The Far Side of the World,144
The Twilight Saga: Breaking Dawn - Part 2,145
Happy Feet Two,146
The Incredible Hulk,147
Turbo,148
Rango,149
Penguins of Madagascar,150
The Bourne Ultimatum,151
Kung Fu Panda,152
The Hunger Games: Catching Fire,153
Home,154
War of the Worlds,155
Bad Boys II,156
Salt,157
Noah,158
The Adventures of Tintin,159
Harry Potter and the Prisoner of Azkaban,160
Australia,161
After Earth,162
Dinosaur,163
Night at the Museum: Secret of the Tomb,164
Megamind,165
Harry Potter and the Philosopher's Stone,166
R.I.P.D.,167
Pirates of the Caribbean: The Curse of the Black Pearl,168
The Hunger Games: Mockingjay - Part 1,169
The Da Vinci Code,170
Rio 2,171
X2,172
Fast Five,173
Sherlock Holmes: A Game of Shadows,174
Clash of the Titans,175
Total Recall,176
The 13th Warrior,177
The Bourne Legacy,178
Batman & Robin,179
How the Grinch Stole Christmas,180
The Day After Tomorrow,181
Mission: Impossible II,182
The Perfect Storm,183
Fantastic 4: Rise of the Silver Surfer,184
Life of Pi,185
Ghost Rider,186
Charlie's Angels: Full Throttle,187
Prometheus,188
Stuart Little 2,189
Elysium,190
The Chronicles of Riddick,191
RoboCop,192
Speed Racer,193
How Do You Know,194
Knight and Day,195
Oblivion,196
Star Wars: Episode III - Revenge of the Sith,197
Star Wars: Episode II - Attack of the Clones,198
"Monsters, Inc.",199
The Wolverine,200
Star Wars: Episode I - The Phantom Menace,201
The Croods,202
Asterix at the Olympic Games,203
Windtalkers,204
Teenage Mutant Ninja Turtles,205
Gravity,206
Dante's Peak,207
Night at the Museum,208
Tomorrow Never Dies,209
The Patriot,210
Ocean's Twelve,211
Mr. & Mrs. Smith,212
Insurgent,213
The Aviator,214
Gulliver's Travels,215
The Green Hornet,216
300: Rise of an Empire,217
The Smurfs,218
Home on the Range,219
Real Steel,220
The Smurfs 2,221
Speed 2: Cruise Control,222
Ender's Game,223
Live Free or Die Hard,224
The Lord of the Rings: The Fellowship of the Ring,225
Around the World in 80 Days,226
Ali,227
The Cat in the Hat,228
"I, Robot",229
Kingdom of Heaven,230
Stuart Little,231
The Princess and the Frog,232
The Island,233
Town & Country,234
