id,title,genres,overview,sentiment,director,cast,movieId
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",-0.3612,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",72998
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",-0.3919,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",53125
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",-0.9136,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",91529
49529,John Carter,"['Action', 'Adventure', 'Science Fiction']","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",-0.7096,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",93363
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",0.5859,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",52722
38757,Tangled,"['Animation', 'Family']","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",0.9992471933364868,Byron Howard,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",81847
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",0.8462333679199219,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",69844
1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",-0.7579,Bryan Singer,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",46530
10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",0.9974652528762816,Marc Forster,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",63113
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",-0.8074,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",45722
